Search_image,Target_image,Matched,Matching_percentage
15033-7_7KLH.pdb.jpg,15033-7_7KLH.pdb.tga,Matched,6.084070796460177
15033-7_7KLH.pdbx90.jpg,15033-7_7KLH.pdbx90.tga,Matched,3.2460732984293195
15033-7_7KLH.pdby90.jpg,15033-7_7KLH.pdby90.tga,Matched,6.270996640537514
2-15_7L5B.pdb.jpg,2-15_7L5B.pdb.tga,Matched,5.568720379146919
2-15_7L5B.pdbx90.jpg,2-15_7L5B.pdbx90.tga,Matched,7.794871794871796
2-15_7L5B.pdby90.jpg,2-15_7L5B.pdby90.tga,Matched,7.28476821192053
298_7K9Z.pdb.jpg,298_7K9Z.pdb.tga,Matched,4.878048780487805
298_7K9Z.pdbx90.jpg,298_7K9Z.pdbx90.tga,Matched,3.9735099337748347
298_7K9Z.pdby90.jpg,298_7K9Z.pdby90.tga,Matched,8.51063829787234
2H2_7DK4.pdb.jpg,2H2_7DK4.pdb.tga,Matched,4.0
2H2_7DK4.pdbx90.jpg,2H2_7DK4.pdbx90.tga,Matched,12.071535022354695
2H2_7DK4.pdby90.jpg,2H2_7DK4.pdby90.tga,Matched,5.319148936170213
52_7K9Z.pdb.jpg,52_7K9Z.pdb.tga,Matched,4.044409199048374
52_7K9Z.pdbx90.jpg,52_7K9Z.pdbx90.tga,Matched,3.8095238095238098
52_7K9Z.pdby90.jpg,52_7K9Z.pdby90.tga,Matched,3.650793650793651
Ab2-4_6XEY.pdb.jpg,Ab2-4_6XEY.pdb.tga,Matched,3.3816425120772946
Ab2-4_6XEY.pdbx90.jpg,Ab2-4_6XEY.pdbx90.tga,Matched,7.4884792626728105
Ab2-4_6XEY.pdby90.jpg,Ab2-4_6XEY.pdby90.tga,Matched,7.204610951008646
B38_7BZ5.pdb.jpg,B38_7BZ5.pdb.tga,Matched,4.933196300102774
B38_7BZ5.pdbx90.jpg,B38_7BZ5.pdbx90.tga,Matched,4.540295119182747
B38_7BZ5.pdby90.jpg,B38_7BZ5.pdby90.tga,Matched,7.338551859099804
BD-236_7CHB.pdb.jpg,BD-236_7CHB.pdb.tga,Matched,6.0817547357926225
BD-236_7CHB.pdbx90.jpg,BD-236_7CHB.pdbx90.tga,Matched,3.382663847780127
BD-236_7CHB.pdby90.jpg,BD-236_7CHB.pdby90.tga,Matched,8.293612964728313
BD-368-2_7CHF.pdb.jpg,BD-368-2_7CHF.pdb.tga,Matched,2.9684601113172544
BD-368-2_7CHF.pdbx90.jpg,BD-368-2_7CHF.pdbx90.tga,Matched,6.083650190114068
BD-368-2_7CHF.pdby90.jpg,BD-368-2_7CHF.pdby90.tga,Matched,6.167400881057269
BD-604_7CHF.pdb.jpg,BD-604_7CHF.pdb.tga,Matched,2.6172300981461287
BD-604_7CHF.pdbx90.jpg,BD-604_7CHF.pdbx90.tga,Matched,5.030181086519115
BD-604_7CHF.pdby90.jpg,BD-604_7CHF.pdby90.tga,Matched,7.450157397691501
BD-629_7CH5.pdb.jpg,BD-629_7CH5.pdb.tga,Matched,7.811080835603996
BD-629_7CH5.pdbx90.jpg,BD-629_7CH5.pdbx90.tga,Matched,4.219409282700422
BD-629_7CH5.pdby90.jpg,BD-629_7CH5.pdby90.tga,Matched,7.609756097560975
BD23_7BYR.pdb.jpg,BD23_7BYR.pdb.tga,Matched,5.374592833876222
BD23_7BYR.pdbx90.jpg,BD23_7BYR.pdbx90.tga,Matched,6.4482029598308666
BD23_7BYR.pdby90.jpg,BD23_7BYR.pdby90.tga,Matched,4.103671706263499
C002_7K8T.pdb.jpg,C002_7K8T.pdb.tga,Matched,6.7064083457526085
C002_7K8T.pdbx90.jpg,C002_7K8T.pdbx90.tga,Matched,6.527415143603134
C002_7K8T.pdby90.jpg,C002_7K8T.pdby90.tga,Matched,5.121638924455826
C102_7K8M.pdb.jpg,C102_7K8M.pdb.tga,Matched,7.9620853080568725
C102_7K8M.pdbx90.jpg,C102_7K8M.pdbx90.tga,Matched,4.42842430484037
C102_7K8M.pdby90.jpg,C102_7K8M.pdby90.tga,Matched,5.027932960893855
C104_7K8U.pdb.jpg,C104_7K8U.pdb.tga,Matched,5.636363636363637
C104_7K8U.pdbx90.jpg,C104_7K8U.pdbx90.tga,Matched,5.1698670605613
C104_7K8U.pdby90.jpg,C104_7K8U.pdby90.tga,Matched,7.454739084132056
C105_6XCM.pdb.jpg,C105_6XCM.pdb.tga,Matched,4.5004500450045
C105_6XCM.pdbx90.jpg,C105_6XCM.pdbx90.tga,Matched,9.080459770114944
C105_6XCM.pdby90.jpg,C105_6XCM.pdby90.tga,Matched,7.476635514018691
C110_7K8V.pdb.jpg,C110_7K8V.pdb.tga,Matched,3.8314176245210727
C110_7K8V.pdbx90.jpg,C110_7K8V.pdbx90.tga,Matched,8.670520231213873
C110_7K8V.pdby90.jpg,C110_7K8V.pdby90.tga,Matched,8.232118758434549
C119_7K8W.pdb.jpg,C119_7K8W.pdb.tga,Matched,5.2215189873417724
C119_7K8W.pdbx90.jpg,C119_7K8W.pdbx90.tga,Matched,3.818953323903819
C119_7K8W.pdby90.jpg,C119_7K8W.pdby90.tga,Matched,3.815028901734104
C121_7K8X.pdb.jpg,C121_7K8X.pdb.tga,Matched,4.071661237785016
C121_7K8X.pdbx90.jpg,C121_7K8X.pdbx90.tga,Matched,4.7556142668428
C121_7K8X.pdby90.jpg,C121_7K8X.pdby90.tga,Matched,6.315789473684211
C135_7K8Z.pdb.jpg,C135_7K8Z.pdb.tga,Matched,4.27807486631016
C135_7K8Z.pdbx90.jpg,C135_7K8Z.pdbx90.tga,Matched,4.261954261954262
