Search_image,Target_image,Matched,Matching_percentage
15033-7_7KLH.pdb.jpg,15033-7_7KLH.pdb.tga,Matched,2.4
15033-7_7KLH.pdbx90.jpg,15033-7_7KLH.pdbx90.tga,Matched,2.2
15033-7_7KLH.pdby90.jpg,15033-7_7KLH.pdby90.tga,Matched,4.6
2-15_7L5B.pdb.jpg,2-15_7L5B.pdb.tga,Matched,1.0
2-15_7L5B.pdbx90.jpg,2-15_7L5B.pdbx90.tga,Matched,2.6
2-15_7L5B.pdby90.jpg,2-15_7L5B.pdby90.tga,Matched,1.6
298_7K9Z.pdb.jpg,298_7K9Z.pdb.tga,Matched,1.7999999999999998
298_7K9Z.pdbx90.jpg,298_7K9Z.pdbx90.tga,Matched,3.0
298_7K9Z.pdby90.jpg,298_7K9Z.pdby90.tga,Matched,2.4
2H2_7DK4.pdb.jpg,2H2_7DK4.pdb.tga,Matched,2.8000000000000003
2H2_7DK4.pdbx90.jpg,2H2_7DK4.pdbx90.tga,Matched,2.4
2H2_7DK4.pdby90.jpg,2H2_7DK4.pdby90.tga,Matched,2.8000000000000003
52_7K9Z.pdb.jpg,52_7K9Z.pdb.tga,Matched,2.8000000000000003
52_7K9Z.pdbx90.jpg,52_7K9Z.pdbx90.tga,Matched,2.8000000000000003
52_7K9Z.pdby90.jpg,52_7K9Z.pdby90.tga,Matched,1.2
Ab2-4_6XEY.pdb.jpg,Ab2-4_6XEY.pdb.tga,Matched,1.7999999999999998
Ab2-4_6XEY.pdbx90.jpg,Ab2-4_6XEY.pdbx90.tga,Matched,2.4
Ab2-4_6XEY.pdby90.jpg,Ab2-4_6XEY.pdby90.tga,Matched,2.8000000000000003
B38_7BZ5.pdb.jpg,B38_7BZ5.pdb.tga,Matched,2.2
B38_7BZ5.pdbx90.jpg,B38_7BZ5.pdbx90.tga,Matched,2.4
B38_7BZ5.pdby90.jpg,BD-629_7CH5.pdb.tga,Not Matched,1.4
BD-236_7CHB.pdb.jpg,BD-236_7CHB.pdb.tga,Matched,2.6
BD-236_7CHB.pdbx90.jpg,BD-236_7CHB.pdbx90.tga,Matched,1.6
BD-236_7CHB.pdby90.jpg,BD-236_7CHB.pdby90.tga,Matched,1.7999999999999998
BD-368-2_7CHF.pdb.jpg,BD-368-2_7CHF.pdb.tga,Matched,1.6
BD-368-2_7CHF.pdbx90.jpg,BD-368-2_7CHF.pdbx90.tga,Matched,2.0
BD-368-2_7CHF.pdby90.jpg,CT-P59_7CM4.pdby90.tga,Not Matched,1.4
BD-604_7CHF.pdb.jpg,BD-604_7CHF.pdb.tga,Matched,3.2
BD-604_7CHF.pdbx90.jpg,BD-604_7CHF.pdbx90.tga,Matched,1.2
BD-604_7CHF.pdby90.jpg,BD-604_7CHF.pdby90.tga,Matched,2.8000000000000003
BD-629_7CH5.pdb.jpg,BD-629_7CH5.pdb.tga,Matched,2.6
BD-629_7CH5.pdbx90.jpg,BD-629_7CH5.pdbx90.tga,Matched,1.4
BD-629_7CH5.pdby90.jpg,BD-629_7CH5.pdby90.tga,Matched,2.2
BD23_7BYR.pdb.jpg,BD23_7BYR.pdb.tga,Matched,2.4
BD23_7BYR.pdbx90.jpg,BD23_7BYR.pdbx90.tga,Matched,1.7999999999999998
BD23_7BYR.pdby90.jpg,BD23_7BYR.pdby90.tga,Matched,3.2
C002_7K8T.pdb.jpg,C002_7K8T.pdb.tga,Matched,2.4
C002_7K8T.pdbx90.jpg,C002_7K8T.pdbx90.tga,Matched,2.2
C002_7K8T.pdby90.jpg,C002_7K8T.pdby90.tga,Matched,2.2
C102_7K8M.pdb.jpg,C102_7K8M.pdb.tga,Matched,1.6
